        Frequency / MHz                S2,2 (31778)/abs,dB
                  1627.2                      -6.1542794
                  1629.8                      -6.0727282
                  1632.4                      -5.9930685
                    1635                      -5.9152162
                  1637.6                      -5.8392275
                  1640.2                       -5.765233
                  1642.8                      -5.6933432
                  1645.4                      -5.6235624
                    1648                      -5.5557819
                  1650.6                      -5.4898099
                  1653.2                      -5.4254658
                  1655.8                      -5.3626548
                  1658.4                      -5.3013938
                    1661                      -5.2417822
                  1663.6                      -5.1839384
                  1666.2                      -5.1279009
                  1668.8                      -5.0736051
                  1671.4                      -5.0209169
                    1674                      -4.9696868
                  1676.6                      -4.9198111
                  1679.2                      -4.8712849
                  1681.8                      -4.8241928
                  1684.4                      -4.7786436
                    1687                      -4.7347082
                  1689.6                      -4.6923791
                  1692.2                      -4.6515728
                  1694.8                      -4.6121706
                  1697.4                      -4.5740729
                    1700                      -4.5372594
                  1702.6                      -4.5017928
                  1705.2                      -4.4677778
                  1707.8                      -4.4353163
                  1710.4                      -4.4044434
                    1713                      -4.3751244
                  1715.6                      -4.3472768
                  1718.2                      -4.3208149
                  1720.8                      -4.2957033
                  1723.4                      -4.2719886
                    1726                      -4.2497809
                  1728.6                      -4.2291998
                  1731.2                      -4.2103291
                  1733.8                      -4.1931908
                  1736.4                      -4.1777464
                    1739                      -4.1639358
                  1741.6                      -4.1517406
                  1744.2                      -4.1412141
                  1746.8                      -4.1324859
                  1749.4                      -4.1257255
                    1752                      -4.1210976
                  1754.6                      -4.1187175
                  1757.2                      -4.1186478
                  1759.8                       -4.120933
                  1762.4                      -4.1256459
                    1765                      -4.1329468
                  1767.6                       -4.143097
                  1770.2                      -4.1564436
                  1772.8                      -4.1733681
                  1775.4                       -4.194245
                    1778                      -4.2194042
                  1780.6                      -4.2491485
                  1783.2                      -4.2837781
                  1785.8                      -4.3236101
                  1788.4                      -4.3689604
                    1791                       -4.420066
                  1793.6                      -4.4769404
                  1796.2                      -4.5392219
                  1798.8                       -4.606061
                  1801.4                      -4.6761022
                    1804                      -4.7475891
                  1806.6                      -4.8186017
                  1809.2                      -4.8873475
                  1811.8                      -4.9524485
                  1814.4                      -5.0131337
                    1817                      -5.0692805
                  1819.6                      -5.1213422
                  1822.2                      -5.1702042
                  1824.8                      -5.2169837
                  1827.4                      -5.2628643
                    1830                      -5.3089716
                  1832.6                      -5.3562963
                  1835.2                      -5.4056401
                  1837.8                        -5.45759
                  1840.4                      -5.5125326
                    1843                      -5.5706663
                  1845.6                      -5.6320463
                  1848.2                      -5.6966311
                  1850.8                      -5.7643285
                  1853.4                      -5.8350379
                    1856                      -5.9086406
                  1858.6                       -5.984989
                  1861.2                      -6.0638758
                  1863.8                      -6.1450158
                  1866.4                      -6.2280506
                    1869                      -6.3125598
                  1871.6                      -6.3980954
                  1874.2                      -6.4842345
                  1876.8                      -6.5705711
                  1879.4                      -6.6566992
                    1882                      -6.7421773
                  1884.6                      -6.8265111
                  1887.2                      -6.9091414
                  1889.8                      -6.9894426
                  1892.4                      -7.0667923
                    1895                      -7.1406173
                  1897.6                      -7.2104052
                  1900.2                      -7.2757161
                  1902.8                      -7.3361478
                  1905.4                      -7.3913064
                    1908                       -7.440784
                  1910.6                      -7.4841777
                  1913.2                      -7.5211337
                  1915.8                      -7.5513994
                  1918.4                      -7.5748584
                    1921                      -7.5915178
                  1923.6                      -7.6014865
                  1926.2                      -7.6049097
                  1928.8                      -7.6019397
                  1931.4                      -7.5927296
                    1934                      -7.5774662
                  1936.6                      -7.5564002
                  1939.2                      -7.5298768
                  1941.8                      -7.4983427
                  1944.4                      -7.4622899
                    1947                      -7.4221996
                  1949.6                      -7.3785118
                  1952.2                      -7.3315958
                  1954.8                       -7.281786
                  1957.4                      -7.2294037
                    1960                      -7.1748187
                  1962.6                      -7.1184391
                  1965.2                       -7.060695
                  1967.8                      -7.0019894
                  1970.4                      -6.9426439
                    1973                      -6.8829017
                  1975.6                      -6.8229519
                  1978.2                      -6.7629348
                  1980.8                      -6.7030181
                  1983.4                      -6.6434146
                    1986                      -6.5843727
                  1988.6                      -6.5261142
                  1991.2                      -6.4688058
                  1993.8                      -6.4125606
                  1996.4                       -6.357416
                    1999                      -6.3033725
                  2001.6                      -6.2504591
                  2004.2                       -6.198748
                  2006.8                      -6.1483554
                  2009.4                      -6.0994009
                    2012                      -6.0519862
                  2014.6                       -6.006152
                  2017.2                      -5.9618802
                  2019.8                      -5.9191224
                  2022.4                      -5.8778329
                    2025                      -5.8380106
                  2027.6                      -5.7997151
                  2030.2                      -5.7630226
                  2032.8                      -5.7280016
                  2035.4                      -5.6946885
                    2038                      -5.6630663
                  2040.6                      -5.6330682
                  2043.2                      -5.6046188
                  2045.8                       -5.577686
                  2048.4                      -5.5522769
                    2051                      -5.5284483
                  2053.6                      -5.5062604
                  2056.2                      -5.4857503
                  2058.8                      -5.4669087
                  2061.4                      -5.4496677
                    2064                      -5.4339327
                  2066.6                      -5.4196258
                  2069.2                      -5.4067132
                  2071.8                      -5.3952086
                  2074.4                      -5.3851553
                    2077                      -5.3765882
                  2079.6                      -5.3694898
                  2082.2                      -5.3637791
                  2084.8                      -5.3593356
                  2087.4                       -5.356022
                    2090                      -5.3537527
                  2092.6                      -5.3524905
                  2095.2                      -5.3522466
                  2097.8                      -5.3530399
                  2100.4                      -5.3548366
                    2103                      -5.3575568
                  2105.6                       -5.361041
                  2108.2                      -5.3651275
                  2110.8                      -5.3696796
                  2113.4                       -5.374629
                    2116                      -5.3799659
                  2118.6                       -5.385711
                  2121.2                        -5.39185
                  2123.8                      -5.3983109
                  2126.4                      -5.4049594
                    2129                      -5.4116422
                  2131.6                      -5.4182172
                  2134.2                      -5.4246215
                  2136.8                      -5.4308625
                  2139.4                      -5.4369784
                    2142                      -5.4430088
                  2144.6                      -5.4489386
                  2147.2                      -5.4546842
                  2149.8                      -5.4601344
                  2152.4                      -5.4651805
                    2155                      -5.4697774
                  2157.6                       -5.473942
                  2160.2                      -5.4777516
                  2162.8                      -5.4812897
                  2165.4                      -5.4846037
                    2168                      -5.4876684
                  2170.6                      -5.4904159
                  2173.2                      -5.4927675
                  2175.8                      -5.4946769
                  2178.4                      -5.4961616
                    2181                      -5.4973115
                  2183.6                      -5.4982426
                  2186.2                      -5.4990405
                  2188.8                      -5.4997464
                  2191.4                      -5.5003269
                    2194                      -5.5007207
                  2196.6                       -5.500887
                  2199.2                      -5.5008349
                  2201.8                      -5.5006677
                  2204.4                      -5.5005356
                    2207                      -5.5005941
                  2209.6                      -5.5009682
                  2212.2                       -5.501711
                  2214.8                      -5.5028371
                  2217.4                      -5.5043792
                    2220                      -5.5064335
                  2222.6                       -5.509215
                  2225.2                       -5.513064
                  2227.8                      -5.5183677
                  2230.4                      -5.5255446
                    2233                      -5.5349977
                  2235.6                      -5.5470999
                  2238.2                      -5.5622638
                  2240.8                      -5.5809953
                  2243.4                      -5.6039009
                    2246                      -5.6316703
                  2248.6                       -5.664903
                  2251.2                      -5.7039149
                  2253.8                      -5.7485241
                  2256.4                      -5.7978593
                    2259                       -5.850336
                  2261.6                      -5.9037502
                  2264.2                      -5.9555508
                  2266.8                      -6.0031837
                  2269.4                       -6.044474
                    2272                      -6.0778981
                  2274.6                      -6.1027437
                  2277.2                       -6.119072
                  2279.8                      -6.1275909
                  2282.4                      -6.1294368
                    2285                      -6.1259749
                  2287.6                      -6.1185807
                  2290.2                      -6.1085106
                  2292.8                      -6.0968123
                  2295.4                      -6.0842607
                    2298                      -6.0713805
                  2300.6                      -6.0585042
                  2303.2                      -6.0458049
                  2305.8                      -6.0334263
                  2308.4                      -6.0214977
                    2311                      -6.0101506
                  2313.6                      -5.9995146
                  2316.2                      -5.9896515
                  2318.8                      -5.9805606
                  2321.4                      -5.9721757
                    2324                      -5.9643591
                  2326.6                      -5.9570128
                  2329.2                      -5.9500805
                  2331.8                      -5.9435643
                  2334.4                      -5.9375227
                    2337                       -5.932026
                  2339.6                      -5.9270925
                  2342.2                      -5.9227035
                  2344.8                      -5.9187749
                  2347.4                      -5.9152103
                    2350                      -5.9119711
                  2352.6                      -5.9090815
                  2355.2                      -5.9066342
                  2357.8                      -5.9047977
                  2360.4                      -5.9037156
                    2363                      -5.9035133
                  2365.6                       -5.904267
                  2368.2                      -5.9060253
                  2370.8                      -5.9088846
                  2373.4                      -5.9130063
                    2376                      -5.9186769
                  2378.6                       -5.926277
                  2381.2                      -5.9362303
                  2383.8                      -5.9489358
                  2386.4                      -5.9647054
                    2389                      -5.9837486
                  2391.6                      -6.0061523
                  2394.2                      -6.0319043
                  2396.8                        -6.06087
                  2399.4                      -6.0927507
                    2402                      -6.1270224
                  2404.6                      -6.1628494
                  2407.2                      -6.1991076
                  2409.8                      -6.2344276
