        Frequency                Csh=0.3/abs,dB
                  1939.8                      -16.832529
                  1941.9                      -16.747474
                    1944                      -16.663647
                  1946.1                      -16.581085
                  1948.2                      -16.499824
                  1950.3                      -16.419897
                  1952.4                      -16.341325
                  1954.5                      -16.264132
                  1956.6                      -16.188343
                  1958.7                      -16.113967
                  1960.8                      -16.041022
                  1962.9                      -15.969516
                    1965                      -15.899466
                  1967.1                      -15.830878
                  1969.2                      -15.763751
                  1971.3                      -15.698091
                  1973.4                      -15.633902
                  1975.5                      -15.571178
                  1977.6                      -15.509921
                  1979.7                      -15.450128
                  1981.8                      -15.391792
                  1983.9                      -15.334914
                    1986                      -15.279479
                  1988.1                      -15.225484
                  1990.2                      -15.172921
                  1992.3                      -15.121776
                  1994.4                      -15.072041
                  1996.5                      -15.023705
                  1998.6                      -14.976757
                  2000.7                      -14.931186
                  2002.8                      -14.886972
                  2004.9                      -14.844103
                    2007                      -14.802571
                  2009.1                      -14.762353
                  2011.2                      -14.723436
                  2013.3                      -14.685803
                  2015.4                      -14.649437
                  2017.5                      -14.614323
                  2019.6                      -14.580439
                  2021.7                      -14.547766
                  2023.8                       -14.51629
                  2025.9                      -14.485986
                    2028                      -14.456835
                  2030.1                      -14.428817
                  2032.2                      -14.401911
                  2034.3                      -14.376097
                  2036.4                      -14.351349
                  2038.5                      -14.327646
                  2040.6                      -14.304968
                  2042.7                      -14.283287
                  2044.8                      -14.262582
                  2046.9                      -14.242825
                    2049                      -14.223996
                  2051.1                       -14.20607
                  2053.2                      -14.189016
                  2055.3                      -14.172813
                  2057.4                      -14.157432
                  2059.5                      -14.142848
                  2061.6                      -14.129036
                  2063.7                      -14.115962
                  2065.8                      -14.103608
                  2067.9                       -14.09194
                    2070                      -14.080932
                  2072.1                      -14.070556
                  2074.2                      -14.060786
                  2076.3                      -14.051593
                  2078.4                      -14.042948
                  2080.5                      -14.034823
                  2082.6                      -14.027192
                  2084.7                      -14.020026
                  2086.8                      -14.013298
                  2088.9                       -14.00698
                    2091                      -14.001045
                  2093.1                      -13.995469
                  2095.2                      -13.990222
                  2097.3                       -13.98528
                  2099.4                      -13.980617
                  2101.5                      -13.976209
                  2103.6                      -13.972031
                  2105.7                       -13.96806
                  2107.8                      -13.964273
                  2109.9                      -13.960649
                    2112                      -13.957164
                  2114.1                        -13.9538
                  2116.2                      -13.950536
                  2118.3                      -13.947355
                  2120.4                      -13.944238
                  2122.5                      -13.941168
                  2124.6                       -13.93813
                  2126.7                       -13.93511
                  2128.8                      -13.932093
                  2130.9                      -13.929068
                    2133                      -13.926023
                  2135.1                      -13.922948
                  2137.2                      -13.919832
                  2139.3                       -13.91667
                  2141.4                      -13.913453
                  2143.5                      -13.910177
                  2145.6                      -13.906836
                  2147.7                      -13.903426
                  2149.8                      -13.899946
                  2151.9                      -13.896394
                    2154                      -13.892769
                  2156.1                      -13.889071
                  2158.2                      -13.885304
                  2160.3                      -13.881467
                  2162.4                      -13.877566
                  2164.5                      -13.873603
                  2166.6                      -13.869583
                  2168.7                      -13.865513
                  2170.8                      -13.861397
                  2172.9                      -13.857244
                    2175                      -13.853059
                  2177.1                       -13.84885
                  2179.2                      -13.844627
                  2181.3                      -13.840397
                  2183.4                      -13.836168
                  2185.5                      -13.831951
                  2187.6                      -13.827754
                  2189.7                      -13.823587
                  2191.8                      -13.819457
                  2193.9                      -13.815376
                    2196                      -13.811351
                  2198.1                      -13.807393
                  2200.2                      -13.803513
                  2202.3                      -13.799713
                  2204.4                      -13.796008
                  2206.5                      -13.792404
                  2208.6                      -13.788907
                  2210.7                      -13.785525
                  2212.8                      -13.782267
                  2214.9                      -13.779137
                    2217                      -13.776142
                  2219.1                      -13.773287
                  2221.2                      -13.770576
                  2223.3                      -13.768014
