# Version 1.00
#
freq[Hz]	Trc1_S11[dB]	Trc2_S22[dB]	Trc3_S21[dB]	
1.656000000000000E+009	-2.260349596891436E+000	-2.322822386255328E+000	-2.338868308075304E+001	
1.668000000000000E+009	-2.357080898427129E+000	-2.407316766062055E+000	-2.302312521484014E+001	
1.680000000000000E+009	-2.445770271870878E+000	-2.559397387621753E+000	-2.251441753613346E+001	
1.692000000000000E+009	-2.503988879749621E+000	-2.723842275549797E+000	-2.223941290016688E+001	
1.704000000000000E+009	-2.570287948059996E+000	-2.861034768340202E+000	-2.183746259447571E+001	
1.716000000000000E+009	-2.638675047800586E+000	-2.990780828171717E+000	-2.141291932683071E+001	
1.728000000000000E+009	-2.708010040713733E+000	-3.148348184982265E+000	-2.096183682687848E+001	
1.740000000000000E+009	-2.765723185926007E+000	-3.372697058322074E+000	-2.053945470387859E+001	
1.752000000000000E+009	-2.812375303377533E+000	-3.609916877804173E+000	-2.025374265042622E+001	
1.764000000000000E+009	-2.955619293108622E+000	-3.799524394057515E+000	-1.983146987819089E+001	
1.776000000000000E+009	-3.115909998592775E+000	-4.007864174274052E+000	-1.938763259545722E+001	
1.788000000000000E+009	-3.266305193268375E+000	-4.224533932725446E+000	-1.889278380620842E+001	
1.800000000000000E+009	-3.447928877071575E+000	-4.325608149527715E+000	-1.851632216520882E+001	
1.812000000000000E+009	-3.684551889157785E+000	-4.310026786513048E+000	-1.841840926328435E+001	
1.824000000000000E+009	-3.893968036303201E+000	-4.218754569428998E+000	-1.831515342273050E+001	
1.836000000000000E+009	-4.123717604985486E+000	-4.097907419136228E+000	-1.830103327652626E+001	
1.848000000000000E+009	-4.433215149533361E+000	-3.901565832252174E+000	-1.850743479615508E+001	
1.860000000000000E+009	-4.868664810052153E+000	-3.539897133515380E+000	-1.871684251984872E+001	
1.872000000000000E+009	-5.367355627378038E+000	-3.095388401837942E+000	-1.930188573717580E+001	
1.884000000000000E+009	-6.014084236678968E+000	-2.615243653496249E+000	-2.009358929493269E+001	
1.896000000000000E+009	-6.720210860460487E+000	-2.154314657983359E+000	-2.088821512294309E+001	
1.908000000000000E+009	-7.467955926732501E+000	-1.701934236943410E+000	-2.207675384189610E+001	
1.920000000000000E+009	-8.061109483370393E+000	-1.312558270153677E+000	-2.404254090478025E+001	
1.932000000000000E+009	-8.268086675460017E+000	-1.032834718775971E+000	-2.695941107604341E+001	
1.944000000000000E+009	-8.145109701103678E+000	-8.635736199410660E-001	-3.038138114167977E+001	
1.956000000000000E+009	-7.864592571365313E+000	-8.630314766015859E-001	-3.111950813904344E+001	
1.968000000000000E+009	-7.461947182082509E+000	-1.089744141970307E+000	-2.727620216943311E+001	
1.980000000000000E+009	-6.918109488149013E+000	-1.616751008386609E+000	-2.344438227606454E+001	
1.992000000000000E+009	-6.445644879935130E+000	-2.678916372677808E+000	-2.066874555299681E+001	
2.004000000000000E+009	-5.994170705314558E+000	-4.603449210890152E+000	-1.874921173940174E+001	
2.016000000000000E+009	-5.704605322672823E+000	-7.644805371437593E+000	-1.749881488355959E+001	
2.028000000000000E+009	-5.399720237159370E+000	-1.012301672829197E+001	-1.737408456937567E+001	
2.040000000000000E+009	-5.001504913038480E+000	-9.022906165144793E+000	-1.809227553565131E+001	
2.052000000000000E+009	-4.544938000669169E+000	-6.901619230129784E+000	-1.956695980030827E+001	
2.064000000000000E+009	-4.284456759028737E+000	-5.346744354410412E+000	-2.173794765101048E+001	
2.076000000000000E+009	-4.392681079074355E+000	-4.256837702168346E+000	-2.471980879387595E+001	
2.088000000000000E+009	-5.067145788153874E+000	-3.497760386812653E+000	-2.640276231364357E+001	
2.100000000000000E+009	-6.718477541283646E+000	-2.994578210812383E+000	-2.222189427537548E+001	
2.112000000000000E+009	-7.670382069630139E+000	-2.753020269608556E+000	-1.995021622952526E+001	
2.124000000000000E+009	-7.083176604737091E+000	-2.641019729748890E+000	-1.940710924330109E+001	
2.136000000000000E+009	-6.232870374356171E+000	-2.566342866502719E+000	-1.933278367666124E+001	
2.148000000000000E+009	-5.575553728385439E+000	-2.529670382329216E+000	-1.933682996590985E+001	
2.160000000000000E+009	-5.045504801038652E+000	-2.538831831238454E+000	-1.957771298241721E+001	
2.172000000000000E+009	-4.766528552046498E+000	-2.502333700362052E+000	-1.981974334399470E+001	
2.184000000000000E+009	-4.650942399818331E+000	-2.499819553081383E+000	-2.011840188985600E+001	
2.196000000000000E+009	-4.569114680185733E+000	-2.463003196694074E+000	-2.018728740466098E+001	
2.208000000000000E+009	-4.425255599755358E+000	-2.470486132635833E+000	-2.027738374537547E+001	
2.220000000000000E+009	-4.310282534250497E+000	-2.439495971446863E+000	-2.054093257587329E+001	
2.232000000000000E+009	-4.298651846780139E+000	-2.357233833405585E+000	-2.104440200358935E+001	
2.244000000000000E+009	-4.373578671579152E+000	-2.307628968811882E+000	-2.127147332392745E+001	
2.256000000000000E+009	-4.464655343670658E+000	-2.223244238790621E+000	-2.139676424871896E+001	
2.268000000000000E+009	-4.627009681222795E+000	-2.129940549084301E+000	-2.153959900729459E+001	
2.280000000000000E+009	-4.812502169485532E+000	-1.999040996913506E+000	-2.169665004011243E+001	
2.292000000000000E+009	-4.868330005511550E+000	-1.864630806337033E+000	-2.178348892918364E+001	
2.304000000000000E+009	-4.902209757193814E+000	-1.767477283978873E+000	-2.193837583227993E+001	
2.316000000000000E+009	-4.919305837202106E+000	-1.698282655103746E+000	-2.223786028949617E+001	
2.328000000000000E+009	-5.052811579693416E+000	-1.649046560449453E+000	-2.257566812781452E+001	
2.340000000000000E+009	-5.169392790695868E+000	-1.611702182596991E+000	-2.290883337288335E+001	
2.352000000000000E+009	-5.210975925760993E+000	-1.572222472908337E+000	-2.300579613673713E+001	
2.364000000000000E+009	-5.188042855152157E+000	-1.496990182213510E+000	-2.319699349353220E+001	
2.376000000000000E+009	-5.086647587235675E+000	-1.414425878283656E+000	-2.333897480855540E+001	
2.388000000000000E+009	-4.970538466165729E+000	-1.352863195989339E+000	-2.370925333470900E+001	
2.400000000000000E+009	-4.792842684126615E+000	-1.299367734702401E+000	-2.411742615068512E+001	
2.412000000000000E+009	-4.625515026848788E+000	-1.268262980467832E+000	-2.441974391882869E+001	
2.424000000000000E+009	-4.498744287706662E+000	-1.232574614791244E+000	-2.476673032718263E+001	
2.436000000000000E+009	-4.401898668205434E+000	-1.194500668507634E+000	-2.526474034426322E+001	
2.448000000000000E+009	-4.276239272928132E+000	-1.153533447468918E+000	-2.599755713096307E+001	
2.460000000000000E+009	-4.133448295635435E+000	-1.083539143310367E+000	-2.681619232852969E+001	
2.472000000000000E+009	-3.926115213477727E+000	-9.948815269422142E-001	-2.780089692837945E+001	
