# Version 1.00
#
freq[Hz]	Trc1_S11[dB]	Trc2_S22[dB]	Trc3_S21[dB]	
1.248000000000000E+009	-1.661568855329237E+000	-8.539929353065754E-001	-3.106304327915189E+001	
1.260000000000000E+009	-1.670077907151905E+000	-8.457448739608193E-001	-3.113007816299125E+001	
1.272000000000000E+009	-1.641727011777899E+000	-8.591586988431611E-001	-3.168428329037546E+001	
1.284000000000000E+009	-1.627482486741511E+000	-8.634357676973183E-001	-3.183826375087455E+001	
1.296000000000000E+009	-1.609546496755878E+000	-8.592305547964032E-001	-3.165954018557219E+001	
1.308000000000000E+009	-1.576867829625914E+000	-8.767424756990713E-001	-3.157408311439624E+001	
1.320000000000000E+009	-1.550487229171303E+000	-8.841352663579308E-001	-3.163344810005028E+001	
1.332000000000000E+009	-1.536172725288669E+000	-8.939251992406412E-001	-3.153137868684629E+001	
1.344000000000000E+009	-1.560796006350549E+000	-9.071373765349722E-001	-3.134195369910515E+001	
1.356000000000000E+009	-1.568474258665756E+000	-9.233807567616167E-001	-3.128912274362947E+001	
1.368000000000000E+009	-1.558508514832353E+000	-8.973349597722472E-001	-3.099152334508013E+001	
1.380000000000000E+009	-1.574073679075439E+000	-8.916946709503330E-001	-3.066585647350490E+001	
1.392000000000000E+009	-1.597663298304755E+000	-8.919516815429665E-001	-3.043751708040761E+001	
1.404000000000000E+009	-1.590676156210714E+000	-9.203337504190572E-001	-3.031205667934252E+001	
1.416000000000000E+009	-1.579746240278034E+000	-9.220193606948827E-001	-3.048117370838107E+001	
1.428000000000000E+009	-1.586200846869549E+000	-9.454268521681614E-001	-3.013580528889712E+001	
1.440000000000000E+009	-1.590223107037895E+000	-9.641376412766686E-001	-2.976374845355232E+001	
1.452000000000000E+009	-1.622129068976410E+000	-9.815808533804538E-001	-2.931766675556643E+001	
1.464000000000000E+009	-1.635641816434907E+000	-1.004618883382824E+000	-2.888604258609145E+001	
1.476000000000000E+009	-1.647901385440783E+000	-1.031524783811277E+000	-2.855471565649998E+001	
1.488000000000000E+009	-1.661160495817814E+000	-1.091726804128700E+000	-2.792192758150774E+001	
1.500000000000000E+009	-1.689338544440918E+000	-1.127584674966740E+000	-2.762893016831261E+001	
1.512000000000000E+009	-1.720328011117641E+000	-1.181151891827481E+000	-2.707769335145540E+001	
1.524000000000000E+009	-1.776042573155471E+000	-1.260245277330786E+000	-2.632657549374467E+001	
1.536000000000000E+009	-1.817613762983539E+000	-1.344727874891709E+000	-2.571862295285152E+001	
1.548000000000000E+009	-1.851307913306265E+000	-1.436128429624706E+000	-2.506939033276523E+001	
1.560000000000000E+009	-1.866549472678723E+000	-1.548276126308101E+000	-2.451928287172259E+001	
1.572000000000000E+009	-1.908350707969736E+000	-1.699939496613480E+000	-2.407977153546635E+001	
1.584000000000000E+009	-1.958204691871379E+000	-1.919199344517840E+000	-2.347506274539416E+001	
1.596000000000000E+009	-2.003423977857809E+000	-2.121086560012870E+000	-2.317899582437961E+001	
1.608000000000000E+009	-2.082483868697841E+000	-2.306476969731089E+000	-2.303542286081678E+001	
1.620000000000000E+009	-2.221007425849246E+000	-2.519451145955920E+000	-2.294420455403123E+001	
1.632000000000000E+009	-2.314169435575050E+000	-2.776053143627729E+000	-2.260581317517780E+001	
