# Version 1.00
#
freq[Hz]	Trc1_S11[dB]	Trc2_S22[dB]	Trc3_S21[dB]	
1.728000000000000E+009	-2.681020415207161E+000	-3.054359368519826E+000	-2.190341642058796E+001	
1.740000000000000E+009	-2.753409489653135E+000	-3.199926610990895E+000	-2.168620811991986E+001	
1.752000000000000E+009	-2.853550021817440E+000	-3.401477137555735E+000	-2.125686126754667E+001	
1.764000000000000E+009	-2.933378963791590E+000	-3.628257258730069E+000	-2.078258485597554E+001	
1.776000000000000E+009	-3.021039352627732E+000	-3.931145232706384E+000	-2.035799165839078E+001	
1.788000000000000E+009	-3.183221970105849E+000	-4.190106277650469E+000	-1.979247755526728E+001	
1.800000000000000E+009	-3.370480669754912E+000	-4.356978436959538E+000	-1.935667064300736E+001	
1.812000000000000E+009	-3.589039377672157E+000	-4.498132427532142E+000	-1.900814222049461E+001	
1.824000000000000E+009	-3.811375216281566E+000	-4.505789670383895E+000	-1.867303093286271E+001	
1.836000000000000E+009	-4.096318966127289E+000	-4.369634063449153E+000	-1.830405836844744E+001	
1.848000000000000E+009	-4.453921407762339E+000	-4.071410550900548E+000	-1.803424516312711E+001	
1.860000000000000E+009	-4.906526026960949E+000	-3.699462308513442E+000	-1.799552584393267E+001	
1.872000000000000E+009	-5.543937529706348E+000	-3.221768079921055E+000	-1.826462508792850E+001	
1.884000000000000E+009	-6.376538659412365E+000	-2.676087276777907E+000	-1.883811400669890E+001	
1.896000000000000E+009	-7.314613155644856E+000	-2.134179830262461E+000	-1.978687676357316E+001	
1.908000000000000E+009	-8.179449783468275E+000	-1.657412457967596E+000	-2.132720397970329E+001	
1.920000000000000E+009	-8.842319480864632E+000	-1.281081694596704E+000	-2.341380492948580E+001	
1.932000000000000E+009	-8.915962989025392E+000	-9.972629443961536E-001	-2.639261832957327E+001	
1.944000000000000E+009	-8.503241846646153E+000	-8.404436663622189E-001	-3.121389226834695E+001	
1.956000000000000E+009	-7.802730448939645E+000	-8.410270461657433E-001	-3.515844531977137E+001	
1.968000000000000E+009	-6.978969833308947E+000	-1.066480854847813E+000	-2.888742606834412E+001	
1.980000000000000E+009	-6.287572936823853E+000	-1.591076437310627E+000	-2.393326632483251E+001	
1.992000000000000E+009	-5.759159032924756E+000	-2.674045024961983E+000	-2.086618640598001E+001	
