        Frequency / MHz                S1,1 (31765)/abs,dB
                  2108.2                      -4.1603861
                  2110.8                       -4.168578
                  2113.4                      -4.1769356
                    2116                      -4.1854544
                  2118.6                      -4.1941651
                  2121.2                      -4.2031153
                  2123.8                      -4.2123299
                  2126.4                      -4.2218373
                    2129                      -4.2316125
                  2131.6                      -4.2416249
                  2134.2                      -4.2518786
                  2136.8                      -4.2623762
                  2139.4                      -4.2731545
                    2142                      -4.2842744
                  2144.6                      -4.2957389
                  2147.2                      -4.3075581
                  2149.8                      -4.3196922
                  2152.4                      -4.3321393
                    2155                      -4.3449036
                  2157.6                      -4.3580022
                  2160.2                      -4.3715077
                  2162.8                      -4.3854331
                  2165.4                      -4.3997971
                    2168                       -4.414565
                  2170.6                      -4.4297295
                  2173.2                      -4.4452831
                  2175.8                      -4.4612489
                  2178.4                      -4.4776851
                    2181                       -4.494627
                  2183.6                      -4.5120991
                  2186.2                      -4.5300826
                  2188.8                      -4.5485543
                  2191.4                      -4.5675063
                    2194                      -4.5869593
                  2196.6                      -4.6069576
                  2199.2                      -4.6275618
                  2201.8                      -4.6487982
                  2204.4                      -4.6706676
                    2207                      -4.6931497
                  2209.6                      -4.7162227
                  2212.2                       -4.739906
                  2214.8                      -4.7642463
                  2217.4                      -4.7893032
                    2220                      -4.8151425
                  2222.6                      -4.8417793
                  2225.2                      -4.8692017
                  2227.8                      -4.8974093
                  2230.4                       -4.926415
                    2233                      -4.9562774
                  2235.6                      -4.9871015
                  2238.2                      -5.0189818
                  2240.8                      -5.0520032
                  2243.4                      -5.0862146
                    2246                      -5.1216376
                  2248.6                      -5.1583346
                  2251.2                      -5.1963796
                  2253.8                      -5.2358733
                  2256.4                      -5.2769141
                    2259                      -5.3195185
                  2261.6                       -5.363621
                  2264.2                      -5.4090727
                  2266.8                      -5.4556802
                  2269.4                      -5.5032918
                    2272                      -5.5518274
                  2274.6                      -5.6012629
                  2277.2                      -5.6516174
                  2279.8                      -5.7029204
                  2282.4                      -5.7551841
                    2285                      -5.8084097
                  2287.6                      -5.8626505
                  2290.2                        -5.91801
                  2292.8                      -5.9746296
                  2295.4                      -6.0326651
                    2298                       -6.092216
                  2300.6                      -6.1533067
                  2303.2                      -6.2159437
                  2305.8                      -6.2800958
                  2308.4                      -6.3457918
                    2311                      -6.4131282
                  2313.6                      -6.4821988
                  2316.2                      -6.5530952
                  2318.8                      -6.6258125
                  2321.4                      -6.7002665
                    2324                      -6.7763824
                  2326.6                      -6.8540834
                  2329.2                      -6.9333417
                  2331.8                      -7.0142138
                  2334.4                      -7.0966763
                    2337                      -7.1806198
                  2339.6                      -7.2658311
                  2342.2                      -7.3519843
                  2344.8                      -7.4387466
                  2347.4                      -7.5258088
                    2350                      -7.6128352
                  2352.6                      -7.6994381
                  2355.2                      -7.7850564
                  2357.8                      -7.8688634
                  2360.4                      -7.9498511
                    2363                      -8.0268326
                  2365.6                      -8.0985556
                  2368.2                      -8.1637088
                  2370.8                      -8.2208263
                  2373.4                      -8.2682595
                    2376                      -8.3041572
                  2378.6                      -8.3265923
                  2381.2                      -8.3337984
                  2383.8                      -8.3244822
                  2386.4                      -8.2980343
                    2389                      -8.2546936
                  2391.6                      -8.1955998
                  2394.2                      -8.1228608
                  2396.8                      -8.0395892
                  2399.4                      -7.9498364
                    2402                      -7.8584107
                  2404.6                      -7.7704347
                  2407.2                      -7.6907779
                  2409.8                      -7.6235863
