# Version 1.00
#
freq[Hz]	Trc1_S11[dB]	Trc2_S22[dB]	Trc3_S21[dB]	
1.164000000000000E+009	-2.285617575684946E+000	-4.228662260965051E+000	-2.173687202648110E+001	
1.176000000000000E+009	-2.131848428970609E+000	-4.012760213317391E+000	-2.183068025028187E+001	
1.188000000000000E+009	-2.032508583451995E+000	-3.895628711100668E+000	-2.212461813246031E+001	
1.200000000000000E+009	-1.935436839118147E+000	-3.673374155473398E+000	-2.263762370445506E+001	
1.212000000000000E+009	-1.867882607349642E+000	-3.498529120957775E+000	-2.311801039566447E+001	
1.224000000000000E+009	-1.838202979989958E+000	-3.250333001444015E+000	-2.409237114368102E+001	
1.236000000000000E+009	-1.787597096068908E+000	-3.009153824362105E+000	-2.453905119563473E+001	
1.248000000000000E+009	-1.747078284115559E+000	-2.768978210673435E+000	-2.576061278910600E+001	
1.260000000000000E+009	-1.659173152366663E+000	-2.567464174511129E+000	-2.662434056143756E+001	
1.272000000000000E+009	-1.625300731387656E+000	-2.369470901211764E+000	-2.737668116365687E+001	
1.284000000000000E+009	-1.610747893098764E+000	-2.276329022729731E+000	-2.754561680613693E+001	
1.296000000000000E+009	-1.602322146376576E+000	-2.248790184309496E+000	-2.754391531579083E+001	
1.308000000000000E+009	-1.627921359990439E+000	-2.249100182418348E+000	-2.716319246292084E+001	
1.320000000000000E+009	-1.613519372846528E+000	-2.220749215390017E+000	-2.655277443799764E+001	
1.332000000000000E+009	-1.603637537020463E+000	-2.225522754226028E+000	-2.633012312009170E+001	
1.344000000000000E+009	-1.583620839581837E+000	-2.181489290955636E+000	-2.627525814157135E+001	
1.356000000000000E+009	-1.554673492678700E+000	-2.122297013972298E+000	-2.666779308205190E+001	
1.368000000000000E+009	-1.533341940839682E+000	-2.041246344457118E+000	-2.732617549725339E+001	
1.380000000000000E+009	-1.503421971936697E+000	-1.971007094634229E+000	-2.737177135569986E+001	
1.392000000000000E+009	-1.521649147003464E+000	-1.931938011146172E+000	-2.686984146140473E+001	
1.404000000000000E+009	-1.557688195134211E+000	-1.959998269245171E+000	-2.660382422599046E+001	
1.416000000000000E+009	-1.592155479509293E+000	-2.013470410473045E+000	-2.616209085709974E+001	
1.428000000000000E+009	-1.583412874677771E+000	-2.045982517340863E+000	-2.597206032802958E+001	
1.440000000000000E+009	-1.597023545407243E+000	-2.071590618161509E+000	-2.574700742979224E+001	
1.452000000000000E+009	-1.630403077987251E+000	-2.068425443809896E+000	-2.558196039948732E+001	
1.464000000000000E+009	-1.687086104029327E+000	-2.049694591454214E+000	-2.570430857594064E+001	
1.476000000000000E+009	-1.714799843147312E+000	-2.045970811106923E+000	-2.545200793598925E+001	
1.488000000000000E+009	-1.743852397211701E+000	-2.030522172064983E+000	-2.540857933822237E+001	
1.500000000000000E+009	-1.752995869236888E+000	-2.001844816675666E+000	-2.539048471228109E+001	
1.512000000000000E+009	-1.728499315534624E+000	-1.953000897467746E+000	-2.548381835548495E+001	
1.524000000000000E+009	-1.750498882014224E+000	-1.941941671544490E+000	-2.505643929367865E+001	
1.536000000000000E+009	-1.775963902369394E+000	-1.957272285029305E+000	-2.476024492461577E+001	
1.548000000000000E+009	-1.832437823787067E+000	-1.979462795329572E+000	-2.445952580289572E+001	
1.560000000000000E+009	-1.896854578781080E+000	-1.992131653503759E+000	-2.436084397595015E+001	
1.572000000000000E+009	-1.953269399002960E+000	-2.005791389807034E+000	-2.417153130778041E+001	
1.584000000000000E+009	-1.974741776715227E+000	-2.050852570215199E+000	-2.389980903641984E+001	
1.596000000000000E+009	-2.027275135910490E+000	-2.070369525300547E+000	-2.366862502736338E+001	
1.608000000000000E+009	-2.096405969231447E+000	-2.100719967980096E+000	-2.339723645613029E+001	
1.620000000000000E+009	-2.149240065419288E+000	-2.158920456681544E+000	-2.327260719648825E+001	
1.632000000000000E+009	-2.185269778096779E+000	-2.212364709542942E+000	-2.294590477317472E+001	
1.644000000000000E+009	-2.244294314454037E+000	-2.290269633430266E+000	-2.234124200314201E+001	
1.656000000000000E+009	-2.310386346122515E+000	-2.406148892507752E+000	-2.179988689207734E+001	
1.668000000000000E+009	-2.406974547038839E+000	-2.506783594980422E+000	-2.137202657838533E+001	
