"";"";"Parameters";"";"";"";"";"";"";"";"";"";"";"Tasks\SPara1\S-Parameters"
"Schematic Run ID";"Status";"ant_l";"ant_w";"arm_l";"C_h1";"C_h3";"C_h4";"C_l3";"L_h2";"L_l1";"L_l2";"L_l4";"S1,1"
"23031";"Calculated";"60";"5";"3";"1.2";"5";"3.65786";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"23032";"Calculated";"60";"5";"3";"1.2";"5";"3.7611";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"23033";"Calculated";"60";"5";"3";"1.2";"5";"3.86434";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"23034";"Calculated";"60";"5";"3";"1.2";"5";"3.96759";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"23035";"Calculated";"60";"5";"3";"1.2";"5";"4.07083";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"23036";"Calculated";"60";"5";"3";"1.2";"5";"4.17407";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"23037";"Calculated";"60";"5";"3";"1.2";"5";"4.27731";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"23038";"Calculated";"60";"5";"3";"1.2";"5";"4.38055";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"23039";"Calculated";"60";"5";"3";"1.2";"5";"4.48379";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"23040";"Calculated";"60";"5";"3";"1.2";"5";"4.58703";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"23041";"Calculated";"60";"5";"3";"1.2";"5";"4.69028";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"23042";"Calculated";"60";"5";"3";"1.2";"5";"4.79352";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"23043";"Calculated";"60";"5";"3";"1.2";"5";"4.89676";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"23044";"Calculated";"60";"5";"3";"1.2";"5";"5";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"23045";"Calculated";"60";"5";"3";"1.2";"5";"2.006";"3.37345";"7.8";"13.548";"29.874";"5.52";"1DC"
"23046";"Calculated";"60";"5";"3";"1.2";"5";"2.006";"3.4769";"7.8";"13.548";"29.874";"5.52";"1DC"
"23047";"Calculated";"60";"5";"3";"1.2";"5";"2.006";"3.58034";"7.8";"13.548";"29.874";"5.52";"1DC"
"23048";"Calculated";"60";"5";"3";"1.2";"5";"2.006";"3.68379";"7.8";"13.548";"29.874";"5.52";"1DC"
"23049";"Calculated";"60";"5";"3";"1.2";"5";"2.006";"3.78724";"7.8";"13.548";"29.874";"5.52";"1DC"
"23050";"Calculated";"60";"5";"3";"1.2";"5";"2.006";"3.89069";"7.8";"13.548";"29.874";"5.52";"1DC"
"23051";"Calculated";"60";"5";"3";"1.2";"5";"2.006";"3.99414";"7.8";"13.548";"29.874";"5.52";"1DC"
"23052";"Calculated";"60";"5";"3";"1.2";"5";"2.006";"4.09759";"7.8";"13.548";"29.874";"5.52";"1DC"
"23053";"Calculated";"60";"5";"3";"1.2";"5";"2.006";"4.20103";"7.8";"13.548";"29.874";"5.52";"1DC"
"23054";"Calculated";"60";"5";"3";"1.2";"5";"2.006";"4.30448";"7.8";"13.548";"29.874";"5.52";"1DC"
"23055";"Calculated";"60";"5";"3";"1.2";"5";"2.006";"4.40793";"7.8";"13.548";"29.874";"5.52";"1DC"
"23056";"Calculated";"60";"5";"3";"1.2";"5";"2.006";"4.51138";"7.8";"13.548";"29.874";"5.52";"1DC"
"23057";"Calculated";"60";"5";"3";"1.2";"5";"2.006";"4.61483";"7.8";"13.548";"29.874";"5.52";"1DC"
"23058";"Calculated";"60";"5";"3";"1.2";"5";"2.006";"4.71828";"7.8";"13.548";"29.874";"5.52";"1DC"
"23059";"Calculated";"60";"5";"3";"1.2";"5";"2.006";"4.82172";"7.8";"13.548";"29.874";"5.52";"1DC"
"23060";"Calculated";"60";"5";"3";"1.2";"5";"2.006";"4.92517";"7.8";"13.548";"29.874";"5.52";"1DC"
"23061";"Calculated";"60";"5";"3";"1.2";"5";"2.006";"5.02862";"7.8";"13.548";"29.874";"5.52";"1DC"
"23062";"Calculated";"60";"5";"3";"1.2";"5";"2.006";"5.13207";"7.8";"13.548";"29.874";"5.52";"1DC"
"23063";"Calculated";"60";"5";"3";"1.2";"5";"2.006";"5.23552";"7.8";"13.548";"29.874";"5.52";"1DC"
"23064";"Calculated";"60";"5";"3";"1.2";"5";"2.006";"5.33897";"7.8";"13.548";"29.874";"5.52";"1DC"
"23065";"Calculated";"60";"5";"3";"1.2";"5";"2.006";"5.44241";"7.8";"13.548";"29.874";"5.52";"1DC"
"23066";"Calculated";"60";"5";"3";"1.2";"5";"2.006";"5.54586";"7.8";"13.548";"29.874";"5.52";"1DC"
"23067";"Calculated";"60";"5";"3";"1.2";"5";"2.006";"5.64931";"7.8";"13.548";"29.874";"5.52";"1DC"
"23068";"Calculated";"60";"5";"3";"1.2";"5";"2.006";"5.75276";"7.8";"13.548";"29.874";"5.52";"1DC"
"23069";"Calculated";"60";"5";"3";"1.2";"5";"2.006";"5.85621";"7.8";"13.548";"29.874";"5.52";"1DC"
"23070";"Calculated";"60";"5";"3";"1.2";"5";"2.006";"5.95966";"7.8";"13.548";"29.874";"5.52";"1DC"
"23071";"Calculated";"60";"5";"3";"1.2";"5";"2.006";"6.0631";"7.8";"13.548";"29.874";"5.52";"1DC"
"23072";"Calculated";"60";"5";"3";"1.2";"5";"2.006";"6.16655";"7.8";"13.548";"29.874";"5.52";"1DC"
"23073";"Calculated";"60";"5";"3";"1.2";"5";"2.006";"6.27";"7.8";"13.548";"29.874";"5.52";"1DC"
