        Frequency                Csh2=0.3/abs,dB
                  1414.8                      -3.0437765
                  1416.9                      -3.0601236
                    1419                      -3.0767373
                  1421.1                       -3.093621
                  1423.2                      -3.1107782
                  1425.3                      -3.1282124
                  1427.4                      -3.1459274
                  1429.5                      -3.1639262
                  1431.6                      -3.1822134
                  1433.7                      -3.2007922
                  1435.8                       -3.219666
                  1437.9                      -3.2388397
                    1440                      -3.2583164
                  1442.1                      -3.2781009
                  1444.2                      -3.2981966
                  1446.3                       -3.318607
                  1448.4                      -3.3393375
                  1450.5                      -3.3603923
                  1452.6                       -3.381775
                  1454.7                      -3.4034911
                  1456.8                      -3.4255451
                  1458.9                      -3.4479421
                    1461                      -3.4706869
                  1463.1                      -3.4937826
                  1465.2                      -3.5172372
                  1467.3                      -3.5410551
                  1469.4                      -3.5652405
                  1471.5                      -3.5898016
                  1473.6                      -3.6147436
                  1475.7                      -3.6400723
                  1477.8                      -3.6657942
                  1479.9                      -3.6919158
                    1482                      -3.7184455
                  1484.1                      -3.7453892
                  1486.2                      -3.7727543
                  1488.3                      -3.8005496
                  1490.4                      -3.8287834
                  1492.5                      -3.8574639
                  1494.6                         -3.8866
                  1496.7                      -3.9162005
                  1498.8                      -3.9462764
                  1500.9                      -3.9768365
                    1503                      -4.0078927
                  1505.1                      -4.0394558
                  1507.2                      -4.0715365
                  1509.3                      -4.1041473
                  1511.4                      -4.1373006
                  1513.5                       -4.171009
                  1515.6                      -4.2052879
                  1517.7                      -4.2401511
                  1519.8                      -4.2756119
                  1521.9                      -4.3116877
                    1524                      -4.3483946
                  1526.1                      -4.3857485
                  1528.2                      -4.4237674
                  1530.3                       -4.462468
                  1532.4                       -4.501873
                  1534.5                      -4.5420011
                  1536.6                      -4.5828699
                  1538.7                       -4.624504
                  1540.8                      -4.6669256
                  1542.9                      -4.7101573
                    1545                      -4.7542257
                  1547.1                      -4.7991492
                  1549.2                      -4.8449613
                  1551.3                      -4.8916847
                  1553.4                       -4.939347
                  1555.5                      -4.9879825
                  1557.6                      -5.0376166
                  1559.7                       -5.088283
                  1561.8                      -5.1400144
                  1563.9                      -5.1928411
                    1566                       -5.246802
                  1568.1                      -5.3019335
                  1570.2                      -5.3582694
                  1572.3                      -5.4158535
                  1574.4                      -5.4747239
                  1576.5                      -5.5349217
                  1578.6                      -5.5964922
                  1580.7                      -5.6594765
                  1582.8                      -5.7239235
                  1584.9                      -5.7898861
                    1587                      -5.8574058
                  1589.1                      -5.9265381
                  1591.2                      -5.9973372
                  1593.3                       -6.069859
                  1595.4                      -6.1441581
                  1597.5                       -6.220291
                  1599.6                      -6.2983287
                  1601.7                      -6.3783281
                  1603.8                      -6.4603534
                  1605.9                      -6.5444815
                    1608                       -6.630781
                  1610.1                      -6.7193208
                  1612.2                      -6.8101816
                  1614.3                      -6.9034381
                  1616.4                      -6.9991784
                  1618.5                      -7.0974874
                  1620.6                      -7.1984466
                  1622.7                      -7.3021633
                  1624.8                      -7.4087209
                  1626.9                      -7.5182278
                    1629                      -7.6307894
                  1631.1                      -7.7464976
                  1633.2                      -7.8654819
                  1635.3                       -7.987858
                  1637.4                      -8.1137409
                  1639.5                      -8.2432727
                  1641.6                      -8.3765758
                  1643.7                      -8.5137986
                  1645.8                      -8.6550883
                  1647.9                      -8.8005796
                    1650                      -8.9504623
                  1652.1                      -9.1048944
                  1654.2                      -9.2640388
                  1656.3                      -9.4281015
                  1658.4                      -9.5972758
                  1660.5                       -9.771757
                  1662.6                      -9.9517701
                  1664.7                      -10.137532
                  1666.8                      -10.329297
                  1668.9                      -10.527313
                    1671                      -10.731851
                  1673.1                      -10.943184
                  1675.2                      -11.161621
                  1677.3                      -11.387466
                  1679.4                      -11.621048
                  1681.5                      -11.862718
                  1683.6                      -12.112856
                  1685.7                      -12.371843
                  1687.8                      -12.640064
                  1689.9                      -12.917982
                    1692                      -13.206017
                  1694.1                      -13.504631
                  1696.2                      -13.814294
                  1698.3                       -14.13547
                  1700.4                      -14.468666
                  1702.5                      -14.814327
                  1704.6                      -15.172873
                  1706.7                      -15.544718
                  1708.8                      -15.930141
                  1710.9                      -16.329305
                    1713                       -16.74219
                  1715.1                      -17.168428
                  1717.2                      -17.607343
                  1719.3                      -18.057668
                  1721.4                      -18.517307
                  1723.5                      -18.983268
                  1725.6                      -19.451102
                  1727.7                      -19.914711
                  1729.8                      -20.365924
                  1731.9                      -20.794237
                    1734                       -21.18688
                  1736.1                      -21.529059
                  1738.2                      -21.805158
                  1740.3                      -22.000509
                  1742.4                      -22.103589
                  1744.5                      -22.108185
                  1746.6                      -22.014731
                  1748.7                      -21.830206
                  1750.8                      -21.566626
                  1752.9                      -21.238916
                    1755                       -20.86264
                  1757.1                      -20.452345
                  1759.2                      -20.020544
                  1761.3                      -19.577409
                  1763.4                      -19.130811
                  1765.5                      -18.686625
                  1767.6                      -18.249004
                  1769.7                       -17.82088
                  1771.8                      -17.404189
                  1773.9                      -17.000076
                    1776                       -16.60921
                  1778.1                      -16.231843
                  1780.2                      -15.867991
                  1782.3                      -15.517479
                  1784.4                      -15.179944
                  1786.5                      -14.855002
                  1788.6                      -14.542233
                  1790.7                      -14.241134
                  1792.8                      -13.951242
                  1794.9                      -13.672072
                    1797                      -13.403138
                  1799.1                      -13.144023
                  1801.2                      -12.894241
                  1803.3                      -12.653384
                  1805.4                      -12.421065
                  1807.5                      -12.196871
                  1809.6                      -11.980449
                  1811.7                      -11.771461
                  1813.8                      -11.569576
                  1815.9                      -11.374502
                    1818                      -11.185919
                  1820.1                      -11.003572
                  1822.2                      -10.827194
                  1824.3                      -10.656543
                  1826.4                      -10.491384
                  1828.5                      -10.331507
                  1830.6                      -10.176699
                  1832.7                      -10.026778
                  1834.8                      -9.8815318
                  1836.9                      -9.7407976
                    1839                      -9.6044264
                  1841.1                      -9.4722427
                  1843.2                      -9.3440976
                  1845.3                      -9.2198573
                  1847.4                      -9.0993851
                  1849.5                      -8.9825629
                  1851.6                      -8.8692476
                  1853.7                      -8.7593368
                  1855.8                      -8.6527287
                  1857.9                      -8.5493023
                    1860                      -8.4489682
                  1862.1                      -8.3516298
                  1864.2                      -8.2571944
                  1866.3                       -8.165587
                  1868.4                       -8.076709
                  1870.5                      -7.9904875
                  1872.6                      -7.9068538
                  1874.7                       -7.825726
                  1876.8                      -7.7470377
                  1878.9                      -7.6707222
                    1881                      -7.5967217
                  1883.1                      -7.5249773
                  1885.2                      -7.4554219
                  1887.3                      -7.3880038
                  1889.4                      -7.3226713
                  1891.5                      -7.2593676
