        Frequency / MHz                S1,1 (31765)/abs,linear
                  2295.4                      0.49930595
                    2298                      0.49589439
                  2300.6                      0.49241884
                  2303.2                      0.48888061
                  2305.8                      0.48528315
                  2308.4                      0.48162654
                    2311                      0.47790722
                  2313.6                      0.47412195
                  2316.2                       0.4702678
                  2318.8                       0.4663472
                  2321.4                      0.46236684
                    2324                      0.45833274
                  2326.6                      0.45425094
                  2329.2                      0.45012477
                  2331.8                      0.44595322
                  2334.4                      0.44173945
                    2337                      0.43749089
                  2339.6                      0.43321995
                  2342.2                      0.42894419
                  2344.8                      0.42468084
                  2347.4                      0.42044536
                    2350                      0.41625383
                  2352.6                      0.41212418
                  2355.2                      0.40808176
                  2357.8                      0.40416326
                  2360.4                      0.40041233
                    2363                      0.39687923
                  2365.6                      0.39361552
                  2368.2                      0.39067405
                  2370.8                      0.38811344
                  2373.4                      0.38599975
                    2376                      0.38440775
                  2378.6                      0.38341613
                  2381.2                      0.38309817
                  2383.8                      0.38350929
                  2386.4                      0.38467883
                    2389                      0.38660309
                  2391.6                      0.38924228
                  2394.2                      0.39251564
                  2396.8                      0.39629678
                  2399.4                      0.40041301
                    2402                      0.40464993
                  2404.6                      0.40876929
                  2407.2                      0.41253529
                  2409.8                      0.41573892
