        Frequency / MHz                S2,1 (31778)/abs,dB
                  1707.8                      -17.173159
                  1710.4                      -17.119023
                    1713                      -17.067496
                  1715.6                      -17.018625
                  1718.2                      -16.972369
                  1720.8                      -16.928687
                  1723.4                      -16.887615
                    1726                      -16.849307
                  1728.6                      -16.814006
                  1731.2                      -16.781966
                  1733.8                      -16.753383
                  1736.4                      -16.728372
                    1739                      -16.707015
                  1741.6                      -16.689438
                  1744.2                      -16.675898
                  1746.8                      -16.666805
                  1749.4                      -16.662697
                    1752                      -16.664168
                  1754.6                      -16.671823
                  1757.2                      -16.686277
                  1759.8                      -16.708226
                  1762.4                      -16.738567
                    1765                      -16.778495
                  1767.6                      -16.829557
                  1770.2                      -16.893685
                  1772.8                      -16.973134
                  1775.4                      -17.070476
                    1778                      -17.188584
                  1780.6                      -17.330774
                  1783.2                      -17.500869
                  1785.8                      -17.703188
                  1788.4                      -17.942433
                    1791                      -18.223222
                  1793.6                      -18.549104
                  1796.2                      -18.921192
                  1798.8                       -19.33625
                  1801.4                      -19.784592
                    1804                      -20.247988
                  1806.6                      -20.698986
                  1809.2                      -21.102855
                  1811.8                      -21.423623
                  1814.4                      -21.633613
                    1817                      -21.722298
                  1819.6                      -21.699386
                  1822.2                      -21.589853
                  1824.8                      -21.424557
                  1827.4                      -21.231926
                    1830                      -21.033641
                  1832.6                      -20.843939
                  1835.2                      -20.671079
                  1837.8                      -20.519369
                  1840.4                      -20.390751
                    1843                      -20.285847
                  1845.6                       -20.20448
                  1848.2                      -20.145826
                  1850.8                      -20.108551
                  1853.4                      -20.091038
                    1856                      -20.091682
                  1858.6                       -20.10917
                  1861.2                      -20.142616
                  1863.8                      -20.191482
                  1866.4                      -20.255392
                    1869                      -20.333888
                  1871.6                      -20.426318
                  1874.2                      -20.531948
                  1876.8                      -20.650134
                  1879.4                      -20.780507
                    1882                      -20.923021
                  1884.6                      -21.077888
                  1887.2                      -21.245321
                  1889.8                      -21.425295
                  1892.4                      -21.617534
                    1895                      -21.821649
                  1897.6                      -22.037318
                  1900.2                      -22.264514
                  1902.8                      -22.503506
                  1905.4                      -22.754734
                    1908                      -23.018472
                  1910.6                      -23.294658
                  1913.2                      -23.582879
                  1915.8                      -23.882541
                  1918.4                       -24.19323
                    1921                      -24.514826
                  1923.6                      -24.847399
                  1926.2                      -25.191044
                  1928.8                      -25.545388
                  1931.4                      -25.909353
                    1934                      -26.281174
                  1936.6                       -26.65885
                  1939.2                      -27.040417
                  1941.8                      -27.423924
                  1944.4                      -27.807252
                    1947                      -28.187447
                  1949.6                      -28.560163
                  1952.2                      -28.919585
                  1954.8                      -29.258978
                  1957.4                      -29.571546
                    1960                      -29.851032
                  1962.6                      -30.091864
                  1965.2                      -30.288807
                  1967.8                      -30.436761
                  1970.4                      -30.531247
                    1973                      -30.569553
                  1975.6                      -30.551948
                  1978.2                      -30.481928
                  1980.8                      -30.365271
                  1983.4                      -30.208597
                    1986                      -30.018111
                  1988.6                      -29.799322
                  1991.2                      -29.557403
                  1993.8                      -29.297839
                  1996.4                      -29.026215
                    1999                      -28.747794
                  2001.6                      -28.466812
                  2004.2                      -28.186031
